383498,209112
383498,155
383498,272
383498,49521
383498,263115
402900,1572
402900,75656
402900,9654
402900,949
402900,259316
466282,43923
466282,449176
466282,308369
466282,12689
466282,272693
454983,449176
454983,101299
454983,9769
454983,49022
454983,417678
363088,141052
363088,297762
363088,49521
363088,99861
363088,209112
283995,299536
283995,1924
283995,8536
283995,1452
283995,9531
455980,460019
455980,254470
455980,260514
455980,390043
455980,489931
293660,141052
293660,1924
293660,8536
293660,1452
293660,9531
487558,324786
487558,1883
487558,363676
487558,424
487558,769
454619,3134
454619,357096
454619,281957
454619,40805
454619,979
177572,281957
177572,479
177572,979
177572,395834
177572,238636
291805,467938
291805,260346
291805,281957
291805,9654
291805,241554
445571,275
445571,473149
445571,425591
445571,270487
445571,309809
181533,1593
181533,122
181533,863
181533,38055
181533,18360
458423,224141
458423,812
458423,11224
458423,194662
458423,11631
150540,812
150540,12092
150540,260513
150540,11360
150540,16577
399174,263109
399174,531
399174,387592
399174,533
399174,530
455207,8966
455207,50124
455207,281957
455207,449176
455207,454983
207703,1726
207703,102899
207703,99861
207703,646
207703,1724
98566,272
98566,604
98566,605
98566,1930
98566,297762
20352,342473
20352,93456
20352,267935
20352,2252
20352,309809
166426,1865
166426,58
166426,22
166426,285
166426,71805
257344,251516
257344,333339
257344,603
257344,604
257344,605
455656,10625
455656,19840
455656,272693
455656,2105
455656,449176
400155,49017
400155,7131
400155,277
400155,24021
400155,2907
353486,314095
353486,333339
353486,258489
353486,131631
353486,70160
437557,376660
437557,11631
437557,112160
437557,391713
437557,12689
11631,382591
11631,109445
11631,634
11631,433
37834,954
37834,646
37834,2502
37834,206647
37834,207703
159824,76492
159824,671
159824,672
159824,675
159824,767
462919,64255
462919,429417
462919,224141
462919,15121
462919,13885
449176,398818
449176,376867
449176,26280
449176,511785
449176,26371
269149,278927
269149,338970
269149,346364
269149,101299
269149,27576
420814,424
420814,769
420814,324786
420814,300671
420814,316029
585,62211
585,1124
585,339404
585,9691
585,55721
808,809
808,10882
808,5393
808,150689
808,10020
507562,34433
507562,129
507562,372058
507562,476292
507562,493006
425,49519
425,387592
425,278154
425,10567
425,675
194662,98566
194662,14
194662,155
194662,272
194662,49026
8961,96
8961,306
8961,9679
8961,562
8961,1572
254470,114150
254470,354912
254470,6477
254470,290762
254470,525
460668,2062
460668,694
460668,745
460668,453
460668,14435
2062,6283
2062,10009
2062,308531
2062,10137
2062,10199
384677,769
384677,968
384677,11517
384677,7859
384677,11474
43074,620
43074,4011
43074,416234
43074,91586
43074,675
214756,10193
214756,72105
214756,250546
214756,11932
214756,11187
260514,335797
260514,258509
260514,9598
260514,9986
260514,9447
270946,10140
270946,10527
270946,49013
270946,9325
270946,808
335797,258509
335797,9598
335797,9836
335797,9986
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
10193,862
10193,38757
10193,72105
10193,10895
339846,228165
339846,152747
339846,11836
339846,14372
339846,2756
400579,277216
400579,2758
400579,433
400579,425
400579,111
370567,540620
370567,10705
370567,10688
370567,297708
370567,119923
747,19908
747,170
747,72190
747,485415
747,336843
82702,10191
82702,425
82702,111
82702,112160
82702,400579
93456,49519
93456,116711
93456,207703
93456,324852
418827,53932
418827,10068
418827,2124
418827,796
418827,405817
106646,4771
106646,261023
106646,979
106646,769
106646,400535
76492,129
76492,671
76492,672
76492,675
920,127380
920,128
920,82703
920,62211
920,168259
18785,298
18785,324668
18785,524
18785,137093
18785,10035
50544,1903
50544,862
50544,38
50544,19913
50544,1259
218746,52449
218746,400928
218746,372058
218746,399796
218746,10144
950,425
950,7840
950,435
950,387893
390043,245891
390043,1620
390043,249070
390043,667
390043,2502
454283,16314
454283,1562
