-1729	1
-1698	1
-1037	1
-890	1
-603	1
-540	1
-455	1
-430	1
-392	1
-386	1
-385	1
-355	1
-350	1
-342	1
-321	1
-285	1
-258	1
-245	1
-239	1
-231	1
-229	1
-224	1
-223	1
-221	1
-219	1
-218	1
-214	1
-210	1
-204	1
-202	1
-197	1
-190	1
-189	1
-184	1
-181	1
-179	1
-177	2
-176	2
-175	2
-174	1
-169	1
-167	2
-166	1
-164	1
-163	1
-161	1
-157	1
-155	1
-154	1
-151	1
-149	1
-148	1
-147	1
-145	2
-143	1
-140	1
-139	2
-138	1
-137	1
-134	1
-132	2
-130	2
-129	1
-128	2
-127	1
-126	1
-125	1
-124	1
-123	1
-122	1
-120	2
-119	1
-118	3
-117	3
-116	2
-115	1
-114	2
-113	1
-112	3
-111	3
-110	3
-108	1
-106	3
-105	1
-104	1
-103	1
-101	5
-100	3
-99	1
-98	3
-97	1
-96	2
-94	2
-93	4
-92	3
-91	4
-90	1
-88	4
-87	1
-86	3
-85	3
-84	5
-83	5
-82	5
-81	2
-80	6
-79	1
-78	5
-77	4
-76	5
-75	3
-74	5
-73	7
-72	1
-71	6
-70	6
-69	7
-68	4
-67	2
-66	8
-65	8
-64	8
-63	6
-62	11
-61	7
-60	8
-59	11
-58	11
-57	10
-56	12
-55	9
-54	15
-53	13
-52	25
-51	21
-50	17
-49	19
-48	18
-47	29
-46	23
-45	25
-44	38
-43	24
-42	34
-41	45
-40	40
-39	50
-38	49
-37	65
-36	65
-35	67
-34	64
-33	80
-32	81
-31	91
-30	117
-29	121
-28	153
-27	148
-26	165
-25	209
-24	220
-23	267
-22	270
-21	320
-20	346
-19	466
-18	503
-17	637
-16	774
-15	827
-14	982
-13	1213
-12	1491
-11	1870
-10	2323
-9	3113
-8	4163
-7	5694
-6	8438
-5	13270
-4	23409
-3	48055
-2	126926
-1	655522
0	111611
1	43029
2	21587
3	12225
4	7762
5	5427
6	4133
7	3012
8	2324
9	1883
10	1479
11	1214
12	1027
13	907
14	780
15	701
16	584
17	593
18	473
19	479
20	409
21	363
22	346
23	342
24	268
25	262
26	259
27	229
28	226
29	216
30	189
31	209
32	186
33	157
34	155
35	165
36	152
37	128
38	135
39	108
40	128
41	103
42	115
43	92
44	99
45	106
46	82
47	108
48	123
49	85
50	112
51	81
52	87
53	72
54	79
55	75
56	66
57	81
58	76
59	46
60	69
61	59
62	47
63	48
64	50
65	45
66	55
67	52
68	39
69	41
70	47
71	40
72	45
73	36
74	45
75	38
76	38
77	40
78	36
79	35
80	34
81	44
82	33
83	29
84	26
85	35
86	32
87	30
88	30
89	24
90	28
91	24
92	21
93	30
94	33
95	23
96	23
97	26
98	23
99	27
100	21
101	26
102	34
103	18
104	19
105	24
106	23
107	26
108	22
109	25
110	20
111	22
112	18
113	14
114	20
115	19
116	16
117	21
118	19
119	19
120	19
121	15
122	16
123	16
124	18
125	13
126	15
127	8
128	18
129	17
130	9
131	12
132	20
133	15
134	22
135	16
136	12
137	12
138	19
139	16
140	13
141	6
142	12
143	15
144	8
145	14
146	11
147	14
148	8
149	10
150	6
151	12
152	14
153	17
154	10
155	13
156	9
157	11
158	6
159	11
160	8
161	12
162	7
163	7
164	10
165	14
166	6
167	9
168	9
169	8
170	11
171	7
172	11
173	10
174	14
175	7
176	9
177	6
178	4
179	7
180	6
181	9
182	5
183	5
184	8
185	9
186	7
187	3
188	8
189	6
190	8
191	7
192	6
193	10
194	6
195	5
196	12
197	3
198	9
199	8
200	8
201	3
202	13
203	3
204	10
205	5
206	8
207	13
208	4
209	10
210	2
211	8
212	10
213	4
214	4
215	5
216	8
217	4
218	7
219	8
220	6
221	5
222	6
223	4
224	8
225	5
226	6
227	4
228	7
229	8
230	7
231	4
232	5
233	5
234	11
235	6
236	5
237	10
238	3
239	4
240	4
241	5
242	7
243	6
244	7
245	3
246	1
247	6
248	3
249	5
250	3
251	3
252	5
253	5
254	9
255	3
256	6
257	3
258	5
259	7
260	2
261	1
262	7
263	3
264	6
265	8
266	4
267	4
268	6
269	4
270	2
271	2
272	5
273	5
274	4
275	5
276	4
277	4
278	5
279	4
280	2
281	4
282	7
283	4
284	2
285	4
286	3
287	1
288	2
289	4
290	6
291	6
292	1
293	2
294	1
295	4
297	4
298	4
299	1
300	4
301	4
302	1
303	6
304	5
305	3
306	6
307	6
308	4
309	5
310	2
311	1
312	1
313	7
314	1
315	1
316	4
317	1
318	4
319	2
320	2
321	4
322	4
323	3
324	3
325	1
327	2
328	2
329	2
330	3
331	2
333	4
334	2
336	1
337	2
338	3
340	4
341	4
342	2
343	1
344	4
345	2
346	3
347	1
348	1
350	1
351	1
352	1
353	1
354	5
355	2
356	1
358	1
360	1
361	2
363	2
365	1
366	1
367	1
368	2
370	1
372	1
373	4
374	2
375	1
376	2
377	4
378	5
379	4
380	2
381	4
383	2
384	2
386	2
388	1
390	3
391	1
392	1
393	2
394	4
395	5
397	3
398	2
400	2
401	1
402	2
403	1
404	2
405	4
406	2
407	1
408	4
410	2
411	1
414	2
415	2
417	1
418	3
419	4
420	2
421	1
422	1
423	1
424	1
425	2
426	3
427	1
428	1
429	3
430	5
